Stat,X-cord(m),Y-cord(m),Period(s),R(Zxx),I(Zxx),R(Zxy),I(Zxy),R(Zyx),I(Zyx),R(Zyy),I(Zyy)
91,-15625,15625,100,-0.8704,0.8823,238.2,-237.2,-247.5,247,0.9484,-0.8628
91,-15625,15625,316.2,2.749,1.286,156.7,-124.5,-130.6,144.2,-2.729,-1.363
91,-15625,15625,1000,1.191,-1.605,100.7,-83.67,-74.23,77.63,-1.364,1.554
92,-15625,21875,0.1,0.01558,0.006685,12060,-7524,-12050,7508,-0.01252,-0.008151
92,-15625,21875,0.3162,0.0127,0.002206,4761,-5592,-4759,5588,-0.01239,-0.00247
92,-15625,21875,1,0.01543,0.01316,2436,-2719,-2433,2717,-0.01443,-0.01257
92,-15625,21875,3.162,0.02218,0.02871,1369,-1459,-1367,1458,-0.0214,-0.02755
92,-15625,21875,10,0.03314,0.06904,769.4,-796.6,-768.2,796.9,-0.03193,-0.0656
92,-15625,21875,31.62,-0.01386,0.05274,432.4,-439.6,-432,440.1,-0.03063,-0.005783
92,-15625,21875,100,-0.2262,2.081,245,-227.2,-247,252,0.3678,-2.147
92,-15625,21875,316.2,3.847,0.68,169.8,-127.4,-126.5,142.3,-3.875,-0.7761
92,-15625,21875,1000,1.311,-2.122,105,-90.53,-74.36,76.2,-1.498,2.105
93,-15625,28125,0.1,0.08818,0.02807,12140,-7686,-12090,7589,-0.06738,-0.0339
93,-15625,28125,0.3162,0.06324,0.007709,4780,-5629,-4768,5607,-0.05594,-0.00843
93,-15625,28125,1,0.07939,0.05257,2458,-2739,-2444,2727,-0.06786,-0.04823
93,-15625,28125,3.162,0.1118,0.107,1382,-1469,-1373,1464,-0.09938,-0.09721
93,-15625,28125,10,0.1651,0.2301,778,-801.2,-771.5,800.4,-0.1535,-0.2065
93,-15625,28125,31.62,-0.08706,0.6434,437.5,-436.1,-436,442.1,0.202,-0.4145
93,-15625,28125,100,1.92,3.1,268.1,-220.1,-241.4,259.1,-1.773,-3.366
93,-15625,28125,316.2,5.096,-0.564,188,-137.6,-122.6,138.1,-5.193,0.4662
93,-15625,28125,1000,1.298,-2.811,109.9,-101,-75.47,74.54,-1.488,2.851
94,-15625,34375,0.1,0.4563,0.03127,12520,-8520,-12340,8096,-0.2807,-0.09961
94,-15625,34375,0.3162,0.2902,0.04744,4889,-5810,-4827,5720,-0.2038,-0.03737
94,-15625,34375,1,0.3942,0.2109,2574,-2846,-2512,2793,-0.2684,-0.1721
94,-15625,34375,3.162,0.5372,0.4163,1449,-1527,-1410,1502,-0.3868,-0.3333
94,-15625,34375,10,0.7615,0.854,820.9,-828.1,-792.2,822.2,-0.5575,-0.6455
94,-15625,34375,31.62,1.556,2.514,478.2,-436.9,-448.7,462,-0.6126,-2.531
94,-15625,34375,100,5.842,2.572,318.5,-234.5,-231.7,266,-5.927,-3.109
94,-15625,34375,316.2,6.19,-2.783,213.9,-163.6,-123.3,132.8,-6.351,2.752
94,-15625,34375,1000,0.8393,-3.663,114.6,-118.1,-80.6,74.29,-0.9598,3.804
95,-15625,40625,0.1,1.15,-0.1335,13440,-11460,-13260,10550,-0.8933,-0.06454
95,-15625,40625,0.3162,1.303,0.4183,5463,-6468,-5204,6242,-0.641,-0.2583
95,-15625,40625,1,1.668,0.8175,3018,-3268,-2852,3129,-0.9332,-0.6014
95,-15625,40625,3.162,2.315,1.516,1713,-1753,-1598,1692,-1.35,-1.183
95,-15625,40625,10,3.751,2.84,996.1,-940.9,-898,934.9,-1.991,-2.7
95,-15625,40625,31.62,7.588,2.914,622.6,-509.1,-486.6,536.2,-7.169,-5.063
95,-15625,40625,100,9.894,-1.071,411.6,-308.5,-246.4,281,-11,0.9248
95,-15625,40625,316.2,5.52,-6.129,248.1,-222.5,-149.2,137.3,-5.902,6.577
95,-15625,40625,1000,-1.282,-4.155,117.3,-145.8,-103.8,84.54,1.387,4.654
96,-15625,46875,0.1,1.756,1.774,15830,-17620,-14900,17220,-2.343,-0.5033
96,-15625,46875,0.3162,1.406,1.159,7907,-8941,-7485,8381,-3.426,-1.718
96,-15625,46875,1,2.683,2.348,4471,-4712,-4213,4493,-4.775,-3.108
96,-15625,46875,3.162,4.981,3.651,2563,-2544,-2367,2466,-7.466,-5.392
96,-15625,46875,10,9.039,1.362,1522,-1400,-1305,1386,-17.08,-7.647
96,-15625,46875,31.62,9.389,-2.252,926.7,-805.6,-701.6,741.6,-18.98,4.507
96,-15625,46875,100,5.817,-6.936,552.7,-505,-414.9,370.6,-11.08,10.93
96,-15625,46875,316.2,-3.412,-8.287,280.1,-331.1,-288.9,199.1,1.573,12.09
96,-15625,46875,1000,-9.198,-1.561,117,-183.6,-209.5,145.9,10.28,3.907
97,-9375,-46875,0.1,-0.003326,-0.004137,12040,-7499,-12040,7497,0.00287,0.002735
97,-9375,-46875,0.3162,-0.003693,-0.001426,4758,-5586,-4758,5585,0.004153,0.001657
97,-9375,-46875,1,-0.003821,-0.005123,2432,-2715,-2432,2715,0.004458,0.005739
97,-9375,-46875,3.162,-0.006237,-0.01309,1366,-1457,-1366,1457,0.00734,0.01422
97,-9375,-46875,10,-0.0103,-0.03427,768,-796.2,-767.8,796.5,0.01288,0.03744
97,-9375,-46875,31.62,-0.012,-0.09906,432.2,-439.9,-431.9,440.7,0.01581,0.1082
97,-9375,-46875,100,0.5377,0.03104,242.6,-243.5,-243.9,244.5,-0.5378,-0.008907
97,-9375,-46875,316.2,-2.373,-2.708,144.3,-129.6,-137.6,143.8,2.406,2.476
97,-9375,-46875,1000,-2.161,1.589,93.36,-77.16,-73.73,80.86,1.991,-1.497
98,-9375,-40625,0.1,-0.0002909,-0.002109,12040,-7497,-12040,7497,-0.00008745,0.0008646
98,-9375,-40625,0.3162,-0.0009212,-0.00074,4758,-5585,-4758,5585,0.0009353,0.0007444
98,-9375,-40625,1,-0.0006665,-0.001841,2432,-2715,-2432,2715,0.0006089,0.001971
98,-9375,-40625,3.162,-0.001489,-0.005439,1366,-1457,-1366,1457,0.001368,0.005453
98,-9375,-40625,10,-0.002817,-0.01491,767.9,-796.3,-767.8,796.4,0.003227,0.01566
98,-9375,-40625,31.62,-0.0001476,-0.04327,431.9,-440.3,-431.9,440.7,0.0002021,0.04488
98,-9375,-40625,100,0.2536,0.2636,242.5,-244.8,-243,244.3,-0.2585,-0.251
98,-9375,-40625,316.2,-1.295,-2.262,139.6,-131.3,-139.4,142.8,1.35,2.042
98,-9375,-40625,1000,-1.645,1.034,91.08,-74.45,-74.74,81.25,1.431,-0.993
99,-9375,-34375,0.1,0.00006672,-0.001521,12040,-7497,-12040,7497,-0.0002071,0.0003732
99,-9375,-34375,0.3162,-0.0004712,-0.0004795,4758,-5585,-4758,5585,0.0003838,0.0004041
99,-9375,-34375,1,-0.0001694,-0.000877,2432,-2715,-2432,2715,0.0001387,0.0009472
99,-9375,-34375,3.162,-0.0006892,-0.002922,1366,-1457,-1366,1457,0.0005355,0.002785
99,-9375,-34375,10,-0.00146,-0.007873,767.8,-796.4,-767.8,796.4,0.00172,0.008163
99,-9375,-34375,31.62,0.00004796,-0.02152,431.9,-440.5,-431.9,440.7,0.0009459,0.02112
99,-9375,-34375,100,0.05769,0.2272,242.8,-245.2,-242.6,244.6,-0.06485,-0.2171
99,-9375,-34375,316.2,-0.6089,-1.6,136.7,-133.2,-140.2,142,0.6942,1.408
99,-9375,-34375,1000,-1.148,0.5917,89.45,-72.71,-75.35,81.37,0.9119,-0.605
100,-9375,-28125,0.1,0.0001245,-0.001175,12040,-7497,-12040,7497,0.000261,-0.00004169
100,-9375,-28125,0.3162,-0.0003566,-0.0003933,4758,-5585,-4758,5585,0.0001293,0.0002329
100,-9375,-28125,1,-0.00000735,-0.0004008,2432,-2715,-2432,2715,0.00001039,0.0004744
100,-9375,-28125,3.162,-0.0003999,-0.001633,1366,-1457,-1366,1457,0.000231,0.001454
100,-9375,-28125,10,-0.0008802,-0.004192,767.8,-796.4,-767.8,796.4,0.001078,0.004339
100,-9375,-28125,31.62,-0.0008316,-0.01068,431.9,-440.6,-431.9,440.7,0.001833,0.01086
100,-9375,-28125,100,-0.01326,0.1044,243,-245.2,-242.4,244.8,0.003308,-0.09626
100,-9375,-28125,316.2,-0.1885,-0.8445,135.2,-134.6,-140.4,141.6,0.2995,0.6866
100,-9375,-28125,1000,-0.6671,0.2153,88.51,-71.71,-75.68,81.33,0.4196,-0.2805
101,-9375,-21875,0.1,0.0001497,-0.0009174,12040,-7497,-12040,7497,0.0006816,-0.000002266
101,-9375,-21875,0.3162,-0.0002595,-0.0003023,4758,-5585,-4758,5585,0.0000257,0.0001446
101,-9375,-21875,1,0.0001015,-0.0000606,2432,-2715,-2432,2715,-0.00006754,0.0001343
101,-9375,-21875,3.162,-0.0001874,-0.0007135,1366,-1457,-1366,1457,0.00005045,0.0005224
101,-9375,-21875,10,-0.0003913,-0.00162,767.8,-796.4,-767.8,796.4,0.0005607,0.001705
101,-9375,-21875,31.62,-0.001533,-0.004266,431.9,-440.6,-431.9,440.7,0.001905,0.004276
101,-9375,-21875,100,-0.01811,-0.03222,243.1,-245.2,-242.4,244.8,0.005567,0.03895
101,-9375,-21875,316.2,0.09502,-0.06275,134.6,-135.1,-140.3,141.6,0.03364,-0.06216
101,-9375,-21875,1000,-0.2008,-0.129,88.24,-71.32,-75.8,81.19,-0.05333,0.01691
102,-9375,-15625,0.1,0.0001732,-0.0007381,12040,-7497,-12040,7497,0.001015,0.0001762
102,-9375,-15625,0.3162,-0.0001724,-0.0001978,4758,-5585,-4758,5585,-0.0000855,0.00005789
102,-9375,-15625,1,0.000198,0.0002408,2432,-2715,-2432,2715,-0.0001393,-0.0001699
102,-9375,-15625,3.162,0.0000116,0.00009807,1366,-1457,-1366,1457,-0.0001684,-0.0002979
102,-9375,-15625,10,0.00009116,0.000618,767.8,-796.4,-767.8,796.4,0.00006143,-0.0005861
102,-9375,-15625,31.62,-0.001885,0.001349,431.9,-440.6,-431.9,440.7,0.002304,-0.00168
102,-9375,-15625,100,-0.03044,-0.1736,243.1,-245.3,-242.5,244.6,0.01488,0.1814
102,-9375,-15625,316.2,0.3699,0.7051,134.7,-134.5,-139.9,141.9,-0.2306,-0.8057
102,-9375,-15625,1000,0.2502,-0.468,88.65,-71.5,-75.77,80.98,-0.5106,0.3157
103,-9375,-9375,0.1,0.0001981,-0.0006352,12040,-7497,-12040,7497,0.001297,0.0002378
103,-9375,-9375,0.3162,-0.00008762,-0.00008853,4758,-5585,-4758,5585,-0.0001864,-0.00005157
103,-9375,-9375,1,0.0002948,0.0005487,2432,-2715,-2432,2715,-0.0002137,-0.0004716
103,-9375,-9375,3.162,0.0002109,0.0009352,1366,-1457,-1366,1457,-0.0003631,-0.001139
103,-9375,-9375,10,0.0005595,0.002937,767.8,-796.4,-767.8,796.4,-0.0004281,-0.002931
103,-9375,-9375,31.62,-0.003626,0.009825,431.9,-440.6,-431.9,440.7,0.004377,-0.009385
103,-9375,-9375,100,-0.1253,-0.3173,242.9,-245.6,-242.8,244.4,0.1071,0.3316
103,-9375,-9375,316.2,0.757,1.423,135.6,-132.8,-139.2,142.4,-0.6125,-1.512
103,-9375,-9375,1000,0.6841,-0.8259,89.75,-72.25,-75.62,80.67,-0.9535,0.6412
104,-9375,-3125,0.1,0.0002314,-0.0005844,12040,-7497,-12040,7497,0.001516,0.0001443
104,-9375,-3125,0.3162,0.00002,0.000007389,4758,-5585,-4758,5585,-0.0002769,-0.0001793
104,-9375,-3125,1,0.0004083,0.0009179,2432,-2715,-2432,2715,-0.0003155,-0.0008336
104,-9375,-3125,3.162,0.0004279,0.001952,1366,-1457,-1366,1457,-0.0005662,-0.002173
104,-9375,-3125,10,0.0009924,0.005818,767.8,-796.4,-767.8,796.4,-0.0008768,-0.005795
104,-9375,-3125,31.62,-0.004747,0.02536,431.9,-440.5,-431.9,440.7,0.006088,-0.02495
104,-9375,-3125,100,-0.3811,-0.4091,242.2,-245.9,-243.4,244,0.3656,0.4385
104,-9375,-3125,316.2,1.361,2.036,137.8,-130.4,-138.1,143.2,-1.218,-2.131
104,-9375,-3125,1000,1.098,-1.227,91.52,-73.67,-75.38,80.26,-1.381,1.018
105,-9375,3125,0.1,0.0003444,-0.0004978,12040,-7497,-12040,7497,0.001549,-0.00009611
105,-9375,3125,0.3162,0.0002283,0.0001549,4758,-5585,-4758,5585,-0.0005085,-0.0003443
105,-9375,3125,1,0.0006175,0.001494,2432,-2715,-2432,2715,-0.0005074,-0.001392
105,-9375,3125,3.162,0.0007716,0.003531,1366,-1457,-1366,1457,-0.0009262,-0.003712
105,-9375,3125,10,0.001495,0.01039,767.8,-796.4,-767.8,796.4,-0.001397,-0.0103
105,-9375,3125,31.62,0.006349,0.0524,431.9,-440.4,-431.9,440.7,-0.002691,-0.05447
105,-9375,3125,100,-0.8436,-0.2862,240.6,-245.5,-244.4,244,0.8467,0.3385
105,-9375,3125,316.2,2.263,2.457,141.7,-127.7,-136.4,143.8,-2.13,-2.575
105,-9375,3125,1000,1.486,-1.698,93.96,-75.89,-75.09,79.7,-1.791,1.477
106,-9375,9375,0.1,0.001098,0.000008745,12040,-7497,-12040,7497,0.0008593,-0.0008096
106,-9375,9375,0.3162,0.001032,0.0004809,4758,-5585,-4758,5585,-0.001296,-0.0006867
106,-9375,9375,1,0.001496,0.00287,2432,-2715,-2432,2715,-0.001356,-0.002721
106,-9375,9375,3.162,0.002075,0.007068,1366,-1457,-1366,1457,-0.00221,-0.007148
106,-9375,9375,10,0.003275,0.02021,767.9,-796.3,-767.8,796.4,-0.003177,-0.01982
106,-9375,9375,31.62,0.04935,0.07601,432.1,-440.3,-431.8,440.7,-0.04898,-0.08735
106,-9375,9375,100,-1.392,0.354,238.7,-242.9,-246,244.7,1.448,-0.2854
106,-9375,9375,316.2,3.513,2.556,148,-125.5,-134,144.1,-3.408,-2.712
106,-9375,9375,1000,1.838,-2.276,97.06,-79.18,-74.82,78.95,-2.174,2.053
107,-9375,15625,0.1,0.006091,0.002786,12040,-7501,-12040,7498,-0.003918,-0.003893
107,-9375,15625,0.3162,0.00542,0.001462,4758,-5586,-4758,5586,-0.005616,-0.001642
107,-9375,15625,1,0.006569,0.007757,2432,-2716,-2432,2715,-0.006248,-0.007435
107,-9375,15625,3.162,0.009485,0.01827,1367,-1457,-1366,1457,-0.009456,-0.01794
107,-9375,15625,10,0.01396,0.04821,768.1,-796.3,-767.9,796.5,-0.01367,-0.04652
107,-9375,15625,31.62,0.09176,0.05012,432.2,-440.2,-431.6,440.5,-0.1252,-0.06163
107,-9375,15625,100,-1.5,1.825,238.7,-236.3,-247.4,247.3,1.658,-1.79
107,-9375,15625,316.2,5.133,2.149,157.4,-125,-130.8,143.6,-5.084,-2.354
107,-9375,15625,1000,2.135,-3.009,100.8,-83.95,-74.65,77.91,-2.511,2.803
108,-9375,21875,0.1,0.03497,0.01552,12060,-7532,-12050,7512,-0.02949,-0.01754
108,-9375,21875,0.3162,0.02823,0.004733,4762,-5594,-4759,5589,-0.02705,-0.005122
108,-9375,21875,1,0.03396,0.02782,2437,-2720,-2434,2717,-0.03173,-0.02656
108,-9375,21875,3.162,0.04897,0.06009,1369,-1459,-1367,1458,-0.04686,-0.05738
108,-9375,21875,10,0.07315,0.1422,769.9,-796.9,-768.4,797.1,-0.0703,-0.1347
108,-9375,21875,31.62,-0.05436,0.1263,432.5,-439.5,-432.2,440.1,-0.02179,-0.02062
108,-9375,21875,100,-0.09395,3.988,246.7,-226.4,-246.7,252.3,0.3689,-4.118
108,-9375,21875,316.2,7.107,0.9714,170.7,-128.4,-126.9,141.7,-7.154,-1.223
108,-9375,21875,1000,2.327,-3.97,105.2,-90.99,-74.82,76.54,-2.751,3.807
109,-9375,28125,0.1,0.1902,0.0578,12160,-7730,-12100,7617,-0.1445,-0.06949
109,-9375,28125,0.3162,0.1343,0.01621,4785,-5638,-4771,5613,-0.1171,-0.0176
109,-9375,28125,1,0.1695,0.1094,2464,-2744,-2448,2731,-0.1431,-0.09986
109,-9375,28125,3.162,0.2382,0.2214,1385,-1472,-1375,1466,-0.2091,-0.1997
109,-9375,28125,10,0.35,0.4704,780.2,-802.7,-772.6,801.6,-0.3231,-0.418
109,-9375,28125,31.62,-0.1015,1.395,439.2,-435.8,-436.9,443,0.3855,-0.9679
109,-9375,28125,100,4.075,5.61,271.5,-220.7,-240.9,259.2,-3.8,-6.124
109,-9375,28125,316.2,9.315,-1.388,189.3,-139.4,-123.4,137.6,-9.505,1.123
109,-9375,28125,1000,2.247,-5.244,110,-101.8,-76.12,75.03,-2.7,5.166
110,-9375,34375,0.1,0.9361,0.03837,12590,-8695,-12400,8228,-0.5764,-0.1878
110,-9375,34375,0.3162,0.5999,0.108,4915,-5847,-4843,5749,-0.4104,-0.08007
110,-9375,34375,1,0.8191,0.431,2599,-2869,-2530,2810,-0.5478,-0.3482
110,-9375,34375,3.162,1.116,0.8496,1463,-1540,-1420,1511,-0.7879,-0.6738
110,-9375,34375,10,1.581,1.739,829.7,-834.2,-797.8,827.7,-1.119,-1.301
110,-9375,34375,31.62,3.457,4.88,486.3,-439.6,-451.3,466.1,-1.645,-5.112
110,-9375,34375,100,11.28,4.185,324.6,-238.8,-232.5,266.4,-11.47,-5.179
110,-9375,34375,316.2,11.11,-5.536,215.7,-167.2,-125.6,133.1,-11.44,5.388
110,-9375,34375,1000,1.249,-6.779,114.7,-119.6,-82.01,75.38,-1.614,6.866
111,-9375,40625,0.1,2.09,-0.05727,13540,-11890,-13390,11030,-1.75,-0.06782
111,-9375,40625,0.3162,2.596,0.8453,5576,-6581,-5299,6346,-1.31,-0.5632
111,-9375,40625,1,3.295,1.634,3092,-3340,-2922,3200,-1.901,-1.231
111,-9375,40625,3.162,4.618,3.01,1757,-1792,-1638,1732,-2.758,-2.419
111,-9375,40625,10,7.589,5.482,1025,-962.1,-920.4,958,-4.222,-5.559
111,-9375,40625,31.62,14.69,4.831,642,-524.5,-496.7,548,-14.8,-8.852
111,-9375,40625,100,18.02,-2.927,421.1,-320.2,-254.7,285.1,-20.28,2.846
111,-9375,40625,316.2,9.169,-11.58,250.2,-229.3,-156.4,140.8,-10.11,12.42
111,-9375,40625,1000,-3.103,-7.442,117.5,-147.9,-108.5,87.96,3.032,8.26
112,-9375,46875,0.1,2.691,3.203,16260,-18280,-15240,17900,-4.666,-1.362
112,-9375,46875,0.3162,1.659,2.25,8234,-9272,-7881,8759,-6.934,-3.486
112,-9375,46875,1,4.214,4.409,4659,-4902,-4433,4709,-9.772,-6.309
112,-9375,46875,3.162,8.907,6.737,2672,-2649,-2492,2589,-15.36,-10.79
112,-9375,46875,10,15.18,1.829,1581,-1463,-1374,1452,-34.64,-11.32
112,-9375,46875,31.62,15.64,-5.012,958.7,-843.6,-747.1,774,-33.7,10.75
112,-9375,46875,100,7.937,-13.34,564.8,-527.5,-448.5,389.2,-17.83,21.03
112,-9375,46875,316.2,-9.042,-14.64,282.3,-340.5,-313.4,212.7,5.423,21.8
112,-9375,46875,1000,-18.7,-1.908,118.9,-186.4,-226.4,157.4,20.47,6.087
113,-3125,-46875,0.1,-0.007862,-0.006445,12040,-7501,-12040,7498,0.007951,0.005957
113,-3125,-46875,0.3162,-0.007678,-0.002332,4758,-5586,-4758,5586,0.008879,0.002669
113,-3125,-46875,1,-0.008285,-0.00957,2432,-2716,-2432,2715,0.009849,0.01082
113,-3125,-46875,3.162,-0.01301,-0.02331,1367,-1457,-1366,1457,0.01556,0.02565
113,-3125,-46875,10,-0.02106,-0.05964,768.1,-796.3,-767.9,796.5,0.02616,0.06492
113,-3125,-46875,31.62,-0.02989,-0.172,432.3,-439.8,-431.9,440.7,0.03849,0.1854
113,-3125,-46875,100,0.907,-0.1541,242.7,-243,-244,244.6,-0.8856,0.1954
113,-3125,-46875,316.2,-3.88,-3.784,145,-130,-137.6,143.2,3.856,3.419
113,-3125,-46875,1000,-3.16,2.441,93.55,-77.42,-74.21,81.21,2.907,-2.238
114,-3125,-40625,0.1,-0.001154,-0.002432,12040,-7497,-12040,7497,0.0003985,0.001434
114,-3125,-40625,0.3162,-0.001784,-0.001126,4758,-5585,-4758,5585,0.00173,0.001179
114,-3125,-40625,1,-0.001511,-0.003269,2432,-2715,-2432,2715,0.001465,0.00346
114,-3125,-40625,3.162,-0.002891,-0.009079,1366,-1457,-1366,1457,0.002817,0.009268
114,-3125,-40625,10,-0.005204,-0.02483,767.9,-796.3,-767.8,796.4,0.005801,0.02595
114,-3125,-40625,31.62,-0.0008189,-0.0745,432,-440.3,-431.9,440.6,0.001741,0.07669
114,-3125,-40625,100,0.5091,0.3293,242.5,-244.5,-243.2,244.3,-0.508,-0.2999
114,-3125,-40625,316.2,-2.207,-3.228,140,-131.4,-139.3,142.2,2.233,2.88
114,-3125,-40625,1000,-2.404,1.592,91.28,-74.61,-75.27,81.6,2.089,-1.477
115,-3125,-34375,0.1,-0.0002254,-0.001434,12040,-7497,-12040,7497,-0.000261,0.0006391
115,-3125,-34375,0.3162,-0.0007681,-0.0006521,4758,-5585,-4758,5585,0.0006505,0.0006327
115,-3125,-34375,1,-0.0004032,-0.001511,2432,-2715,-2432,2715,0.0003835,0.001601
115,-3125,-34375,3.162,-0.001147,-0.004596,1366,-1457,-1366,1457,0.001012,0.004546
115,-3125,-34375,10,-0.002335,-0.01263,767.8,-796.4,-767.8,796.4,0.002698,0.01304
115,-3125,-34375,31.62,0.0007496,-0.03564,431.9,-440.5,-431.9,440.7,0.0003427,0.03585
115,-3125,-34375,100,0.1766,0.3406,242.8,-245,-242.7,244.6,-0.1852,-0.3167
115,-3125,-34375,316.2,-1.105,-2.317,136.9,-133.1,-140.1,141.4,1.191,2.008
115,-3125,-34375,1000,-1.679,0.9181,89.66,-72.81,-75.92,81.71,1.333,-0.895
116,-3125,-28125,0.1,-0.00003818,-0.001008,12040,-7497,-12040,7497,0.0001424,0.0001055
116,-3125,-28125,0.3162,-0.0005105,-0.0004712,4758,-5585,-4758,5585,0.000248,0.0003636
116,-3125,-28125,1,-0.00009634,-0.0007173,2432,-2715,-2432,2715,0.0001117,0.0008105
116,-3125,-28125,3.162,-0.0006172,-0.002452,1366,-1457,-1366,1457,0.0004567,0.002345
116,-3125,-28125,10,-0.001329,-0.00658,767.8,-796.4,-767.8,796.4,0.00161,0.006788
116,-3125,-28125,31.62,-0.0008086,-0.01771,431.9,-440.6,-431.9,440.7,0.001927,0.01726
116,-3125,-28125,100,0.02142,0.1714,243,-245.1,-242.5,244.7,-0.03656,-0.1523
116,-3125,-28125,316.2,-0.3904,-1.244,135.2,-134.5,-140.3,140.9,0.5283,0.9841
116,-3125,-28125,1000,-0.9812,0.3449,88.71,-71.77,-76.28,81.66,0.6159,-0.4096
117,-3125,-21875,0.1,0.00005094,-0.0007647,12040,-7497,-12040,7497,0.000595,-0.0000266
117,-3125,-21875,0.3162,-0.0003593,-0.0003239,4758,-5585,-4758,5585,0.00006996,0.0002049
117,-3125,-21875,1,0.00007793,-0.0001825,2432,-2715,-2432,2715,-0.00002868,0.0002769
117,-3125,-21875,3.162,-0.0002834,-0.0009928,1366,-1457,-1366,1457,0.0001567,0.0008754
117,-3125,-21875,10,-0.000592,-0.002512,767.8,-796.4,-767.8,796.4,0.0008347,0.002643
117,-3125,-21875,31.62,-0.001686,-0.006538,431.9,-440.6,-431.9,440.7,0.002984,0.006531
117,-3125,-21875,100,-0.02994,-0.04208,243.1,-245.1,-242.5,244.8,0.01007,0.0576
117,-3125,-21875,316.2,0.122,-0.1202,134.5,-134.9,-140.2,140.9,0.05277,-0.09384
117,-3125,-21875,1000,-0.3065,-0.1789,88.45,-71.37,-76.42,81.52,-0.073,0.03397
118,-3125,-15625,0.1,0.0001297,-0.0006306,12040,-7497,-12040,7497,0.0009398,0.00006898
118,-3125,-15625,0.3162,-0.0002182,-0.000183,4758,-5585,-4758,5585,-0.0000859,0.00006531
118,-3125,-15625,1,0.0002267,0.0002805,2432,-2715,-2432,2715,-0.0001475,-0.0001906
118,-3125,-15625,3.162,0.00001729,0.0002717,1366,-1457,-1366,1457,-0.0001674,-0.0003918
118,-3125,-15625,10,0.0001081,0.0009607,767.8,-796.4,-767.8,796.4,0.0001102,-0.0008966
118,-3125,-15625,31.62,-0.003795,0.003276,431.9,-440.6,-431.9,440.7,0.004445,-0.003068
118,-3125,-15625,100,-0.09014,-0.2637,243.1,-245.3,-242.6,244.6,0.06686,0.2801
118,-3125,-15625,316.2,0.6172,0.9845,134.7,-134.3,-139.8,141.2,-0.4185,-1.166
118,-3125,-15625,1000,0.3446,-0.6938,88.87,-71.55,-76.4,81.31,-0.7392,0.4785
119,-3125,-9375,0.1,0.0002105,-0.0005721,12040,-7497,-12040,7497,0.00121,0.00009095
119,-3125,-9375,0.3162,-0.00008943,-0.00001589,4758,-5585,-4758,5585,-0.0002479,-0.00009982
119,-3125,-9375,1,0.0003766,0.000757,2432,-2715,-2432,2715,-0.0002686,-0.0006641
119,-3125,-9375,3.162,0.00032,0.001581,1366,-1457,-1366,1457,-0.000464,-0.001695
119,-3125,-9375,10,0.0007871,0.004574,767.8,-796.4,-767.8,796.4,-0.0005876,-0.004536
119,-3125,-9375,31.62,-0.006624,0.01719,431.9,-440.6,-431.9,440.7,0.007565,-0.01695
119,-3125,-9375,100,-0.2774,-0.4679,242.8,-245.6,-242.9,244.4,0.2527,0.4943
119,-3125,-9375,316.2,1.268,2.005,135.7,-132.7,-139.2,141.7,-1.057,-2.174
119,-3125,-9375,1000,0.9698,-1.236,89.96,-72.32,-76.25,81.01,-1.384,0.9618
120,-3125,-3125,0.1,0.0003187,-0.000528,12040,-7497,-12040,7497,0.001417,-0.00007911
120,-3125,-3125,0.3162,0.00009241,0.0001583,4758,-5585,-4758,5585,-0.00041,-0.0003053
120,-3125,-3125,1,0.0005656,0.00135,2432,-2715,-2432,2715,-0.0004425,-0.001252
120,-3125,-3125,3.162,0.0006741,0.003218,1366,-1457,-1366,1457,-0.0007984,-0.003336
120,-3125,-3125,10,0.001439,0.009206,767.8,-796.4,-767.8,796.4,-0.001248,-0.009124
120,-3125,-3125,31.62,-0.005357,0.04381,431.9,-440.5,-431.9,440.7,0.008477,-0.04382
120,-3125,-3125,100,-0.7032,-0.5516,242,-245.7,-243.5,244.1,0.6861,0.6001
120,-3125,-3125,316.2,2.224,2.853,138.1,-130.4,-138.1,142.4,-2.011,-3.034
120,-3125,-3125,1000,1.564,-1.842,91.74,-73.78,-76.02,80.62,-2.007,1.522
121,-3125,3125,0.1,0.0006471,-0.0003139,12040,-7497,-12040,7497,0.001336,-0.0005185
121,-3125,3125,0.3162,0.0005279,0.0004297,4758,-5585,-4758,5585,-0.0008602,-0.0005837
121,-3125,3125,1,0.001003,0.002348,2432,-2715,-2432,2715,-0.0008592,-0.002233
121,-3125,3125,3.162,0.001374,0.005927,1366,-1457,-1366,1457,-0.001507,-0.005967
121,-3125,3125,10,0.002422,0.01695,767.8,-796.4,-767.8,796.4,-0.002242,-0.01672
121,-3125,3125,31.62,0.01923,0.08612,432,-440.4,-431.9,440.7,-0.01363,-0.09067
121,-3125,3125,100,-1.399,-0.2505,240.4,-245,-244.5,244.1,1.416,0.3298
121,-3125,3125,316.2,3.597,3.394,142.2,-127.8,-136.5,143,-3.402,-3.613
121,-3125,3125,1000,2.118,-2.552,94.18,-76.07,-75.75,80.09,-2.601,2.202
122,-3125,9375,0.1,0.002486,0.0008623,12040,-7497,-12040,7497,-0.0002915,-0.001926
122,-3125,9375,0.3162,0.002334,0.001029,4758,-5585,-4758,5585,-0.002621,-0.001206
122,-3125,9375,1,0.002993,0.004956,2432,-2715,-2432,2715,-0.002801,-0.004775
122,-3125,9375,3.162,0.004325,0.01242,1366,-1457,-1366,1457,-0.004404,-0.01227
